Z:\bh-microscopy\Leica_M165_Stereoscope_810-00038X; JAX\ratame; 06/28/2022 11:08:23; NT AUTHORITY\Authenticated Users:ReadAndExecute, Synchronize. JAX\microscopy:ReadAndExecute, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Leica_Thunder-505728; JAX\mcdiva_admin; 06/16/2021 08:47:48; NT AUTHORITY\Authenticated Users:ReadAndExecute, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Leica_DIVE-8110002190; JAX\ratame; 06/16/2021 08:47:57; NT AUTHORITY\Authenticated Users:ReadAndExecute, Synchronize. JAX\microscopy:ReadAndExecute, Synchronize. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\OLY_VS200_E9701313\korstanje_lab; JAX\govekk_pa; 07/11/2023 16:22:01; JAX\korstanje-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\OLY_VS200_E9701313\pathology_service; JAX\govekk_pa; 02/02/2023 15:46:03; JAX\pathology-service:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\OLY_VS200_E9701313\microscopy_service; JAX\svc-delivery; 01/05/2023 09:36:29; JAX\microscopy:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\OLY_VS200_E9701313\pdx_service; JAX\svc-delivery; 01/05/2023 09:36:57; JAX\pdx-service:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\OLY_VS200_E9701313\grs_service; JAX\svc-delivery; 01/05/2023 09:36:36; JAX\grs-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\OLY_VS200_E9701313\lutz_lab; JAX\svc-delivery; 01/05/2023 09:37:36; JAX\lutz-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\OLY_VS200_E9701313\bolcun-filas_lab; JAX\svc-delivery; 01/05/2023 09:36:43; JAX\Bolcun-Filas-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\OLY_VS200_E9701313\cba_service; JAX\svc-delivery; 01/05/2023 09:37:15; JAX\SHR-CBA-MOD:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\OLY_VS200_E9701313\bult_lab; JAX\svc-delivery; 01/05/2023 09:37:30; JAX\bult-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\korstanje_lab; JAX\ratame; 06/13/2022 10:55:10; JAX\microscopy:ReadAndExecute, Synchronize. JAX\korstanje-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\rosenthal_lab; JAX\ratame; 06/13/2022 11:02:44; JAX\microscopy:ReadAndExecute, Synchronize. JAX\rosenthal-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\protein_service; JAX\ratame; 06/13/2022 10:59:05; JAX\microscopy:ReadAndExecute, Synchronize. JAX\greene-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\kaczorowski_lab; JAX\ratame; 06/13/2022 10:55:09; JAX\microscopy:ReadAndExecute, Synchronize. JAX\kaczorowski-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\li_lab; JAX\mcdiva_admin; 06/21/2023 12:24:51; JAX\li-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\lau_lab; JAX\ratame; 06/13/2022 10:55:42; JAX\microscopy:ReadAndExecute, Synchronize. JAX\lau-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\robson_lab; JAX\mcdiva_admin; 06/23/2023 11:10:07; JAX\robson-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\baker_lab; JAX\ratame; 06/13/2022 10:53:20; JAX\baker-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\liu_lab; JAX\ratame; 06/13/2022 10:57:45; JAX\microscopy:ReadAndExecute, Synchronize. JAX\liulab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\pathology_service; JAX\ratame; 06/13/2022 10:59:04; JAX\microscopy:ReadAndExecute, Synchronize. JAX\pathology-service:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\serreze_lab; JAX\ratame; 06/13/2022 10:59:33; JAX\microscopy:ReadAndExecute, Synchronize. JAX\serreze-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\burgess_lab; JAX\ratame; 06/13/2022 10:53:24; JAX\microscopy:ReadAndExecute, Synchronize. JAX\burgess-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\singlecell_service; JAX\mcdiva_admin; 06/21/2023 16:29:41; JAX\singlecell:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\microscopy_service; JAX\ratame; 06/13/2022 10:58:06; JAX\microscopy:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
